Time,U07,U08,U09,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19
2007-09-19,,-0.018677043,,,,,,,,,,,
2007-09-20,,-0.011918493,,,,,,,,,,,
2007-09-21,,-0.017749245,,,,,,,,,,,
2007-09-24,,-0.002260739,,,,,,,,,,,
2007-09-25,,0.009509319,,,,,,,,,,,
2007-09-26,,0.021367521,,,,,,,,,,,
2007-09-27,,-0.020547945,,,,,,,,,,,
2007-09-28,,0.00152439,,,,,,,,,,,
2007-10-01,,-0.009437524,,,,,,,,,,,
2007-10-02,,-0.011567164,,,,,,,,,,,
2007-10-03,,-0.025100036,,,,,,,,,,,
2007-10-04,,0.001822157,,,,,,,,,,,
2007-10-05,,0.001825484,,,,,,,,,,,
2007-10-08,,-0.001458257,,,,,,,,,,,
2007-10-09,,-0.022103387,,,,,,,,,,,
2007-10-10,,0.038888889,,,,,,,,,,,
2007-10-11,,-0.049295775,,,,,,,,,,,
2007-10-12,,-0.049849448,,,,,,,,,,,
2007-10-15,,-0.015480896,,,,,,,,,,,
2007-10-16,,-0.021907216,,,,,,,,,,,
2007-10-17,,0.026794575,,,,,,,,,,,
2007-10-18,,0.027881673,,,,,,,,,,,
2007-10-19,,-0.006418919,,,,,,,,,,,
2007-10-22,,0.013351592,,,,,,,,,,,
2007-10-23,,0.012829404,,,,,,,,,,,
2007-10-24,,-0.008934708,,,,,,,,,,,
2007-10-25,,0.027179668,,,,,,,,,,,
2007-10-26,,0.006394316,,,,,,,,,,,
2007-10-29,,-0.007054674,,,,,,,,,,,
2007-10-30,,-0.010125698,,,,,,,,,,,
2007-10-31,,-0.011732229,,,,,,,,,,,
2007-11-01,,0.01755618,,,,,,,,,,,
2007-11-02,,0.016779722,,,,,,,,,,,
2007-11-05,,0.009369369,,,,,,,,,,,
2007-11-06,,-0.015957447,,,,,,,,,,,
2007-11-07,,0.018050542,,,,,,,,,,,
2007-11-08,,0.016886931,,,,,,,,,,,
2007-11-09,,0.000367242,,,,,,,,,,,
2007-11-12,,0.006282336,,,,,,,,,,,
2007-11-13,,-0.000738552,,,,,,,,,,,
2007-11-14,,0.010824935,,,,,,,,,,,
2007-11-15,,0.012854442,,,,,,,,,,,
2007-11-16,,-0.014530551,,,,,,,,,,,
2007-11-19,,0.006374203,0.006386176,0.006386176,,,,,,,,,
2007-11-20,,-0.01659292,-0.016623569,-0.007086908,,,,,,,,,
2007-11-21,,-0.006593407,-0.006605505,-0.006669137,,,,,,,,,
2007-11-26,,-0.010511055,-0.001465738,-0.000740466,,,,,,,,,
2007-11-27,,-0.004689755,-0.004741065,-0.004789978,,,,,,,,,
2007-11-28,,-0.007163324,-0.007600434,-0.007678245,,,,,,,,,
2007-11-29,,0.010861694,0.010976948,0.011090573,,,,,,,,,
2007-11-30,,-0.008970219,-0.005096469,-0.005148952,,,,,,,,,
2007-12-03,,-0.008185053,-0.008303249,-0.008388038,,,,,,,,,
2007-12-04,,-0.012996136,-0.014935989,-0.015086207,,,,,,,,,
2007-12-05,,-0.002802102,-0.008112875,-0.008193801,,,,,,,,,
2007-12-06,,-0.02159013,-0.020048393,-0.020244328,,,,,,,,,
2007-12-07,,-0.003415301,-0.003444712,-0.003478261,,,,,,,,,
2007-12-10,,-0.028211085,-0.028447122,-0.028716216,,,,,,,,,
2007-12-11,,0.009718499,0.009800608,0.009894234,,,,,,,,,
2007-12-12,,0.021218344,0.02140145,0.021610317,,,,,,,,,
2007-12-13,,-0.01150203,-0.011600136,-0.011712022,,,,,,,,,
2007-12-14,,-0.019893899,-0.020060181,-0.020249747,,,,,,,,,
2007-12-17,,0.002326354,0.132954545,0.093357934,,,,,,,,,
2007-12-18,,-0.012795276,,,,,,,,,,,
2007-12-19,,-0.008458035,,,,,,,,,,,
2007-12-20,,0.007538512,,,,,,,,,,,
2007-12-21,,0.017,,,,,,,,,,,
2007-12-26,,0.017984391,,,,,,,,,,,
2007-12-27,,-0.007744108,,,,,,,,,,,
2007-12-28,,-0.003021148,,,,,,,,,,,
2007-12-31,,-0.027741514,,,,,,,,,,,
2008-01-02,,0.034785545,,,,,,,,,,,
2008-01-03,,0.027768136,,,,,,,,,,,
2008-01-04,,0.01874116,,,,,,,,,,,
2008-01-07,,-0.007022472,,,,,,,,,,,
2008-01-08,,0.018233822,,,,,,,,,,,
2008-01-09,,0.002149767,,,,,,,,,,,
2008-01-10,,0.000717103,,,,,,,,,,,
2008-01-11,,0,,,,,,,,,,,
2008-01-14,,-0.024825175,,,,,,,,,,,
2008-01-15,,0.003508772,,,,,,,,,,,
2008-01-16,,0.009564293,,,,,,,,,,,
2008-01-17,,0.001418943,,,,,,,,,,,
2008-01-18,,0.015124235,,,,,,,,,,,
2008-01-22,,0.001442481,,,,,,,,,,,
