Time,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19
2007-05-11,-0.010333629,-0.010843373,,,,,,,,,,,
2007-05-14,0.003258294,0,,,,,,,,,,,
2007-05-15,0.018094089,0.01065449,,,,,,,,,,,
2007-05-16,-0.007185629,-0.006652555,,,,,,,,,,,
2007-05-17,0.005418423,0.001514234,,,,,,,,,,,
2007-05-18,0.00788835,0.00273307,,,,,,,,,,,
2007-05-21,0.008567931,0.008266993,,,,,,,,,,,
2007-05-22,0.041759643,0.036825397,,,,,,,,,,,
2007-05-23,0.004482869,0.009615385,,,,,,,,,,,
2007-05-24,-0.004145408,-0.004467135,,,,,,,,,,,
2007-05-25,-0.013526266,-0.017554859,,,,,,,,,,,
2007-05-29,0.009206349,0.008217446,,,,,,,,,,,
2007-05-30,0.040290621,0.035679214,,,,,,,,,,,
2007-05-31,-0.021015196,-0.020833333,,,,,,,,,,,
2007-06-01,0.037571285,0.015955715,,,,,,,,,,,
2007-06-04,-0.01682058,-0.009354839,,,,,,,,,,,
2007-06-05,-0.008177952,-0.011794708,,,,,,,,,,,
2007-06-06,0.003281917,0.003197953,,,,,,,,,,,
2007-06-07,0.026963263,0.01525974,,,,,,,,,,,
2007-06-08,0.00987066,0,,,,,,,,,,,
2007-06-11,0.038162544,0.046551138,,,,,,,,,,,
2007-06-12,0.040441176,0.035538353,,,,,,,,,,,
2007-06-13,-0.013420384,-0.013194444,,,,,,,,,,,
2007-06-14,-0.014653324,-0.01504788,,,,,,,,,,,
2007-06-15,0.031710914,0.020237264,,,,,,,,,,,
2007-06-18,-0.000368596,0.002448409,,,,,,,,,,,
2007-06-19,0.031558935,0.037749546,,,,,,,,,,,
2007-06-20,-0.012021037,-0.0086362,,,,,,,,,,,
2007-06-21,0.050098619,0.031168831,,,,,,,,,,,
2007-06-22,-0.016298021,0.006348021,,,,,,,,,,,
2007-06-25,0.069294606,0.066932271,,,,,,,,,,,
2007-06-26,-0.028225806,-0.039050536,,,,,,,,,,,
2007-06-27,-0.013131715,-0.016936394,,,,,,,,,,,
