"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 29, 2014","65.22","64.36","65.99","64.18","-","1.20%"
"Oct 28, 2014","64.45","63.56","64.50","63.24","-","1.14%"
"Oct 27, 2014","63.72","63.70","64.26","63.33","-","-0.19%"
"Oct 24, 2014","63.85","63.10","64.66","62.74","-","1.20%"
"Oct 23, 2014","63.09","62.53","63.30","61.99","-","0.80%"
"Oct 22, 2014","62.59","62.94","63.41","62.46","-","-0.37%"
"Oct 21, 2014","62.82","62.31","63.62","62.11","-","0.87%"
"Oct 20, 2014","62.28","63.22","63.39","62.24","-","-1.17%"
"Oct 17, 2014","63.01","63.63","64.14","62.97","-","-0.76%"
"Oct 16, 2014","63.49","63.68","64.19","63.49","-","-0.42%"
"Oct 15, 2014","63.76","64.39","64.46","63.31","-","-0.80%"
"Oct 14, 2014","64.28","65.33","65.64","64.09","-","-1.68%"
"Oct 13, 2014","65.37","64.38","65.41","64.16","-","1.55%"
"Oct 10, 2014","64.38","63.90","65.50","63.63","-","0.76%"
"Oct 09, 2014","63.89","64.82","64.92","63.15","-","-1.52%"
"Oct 08, 2014","64.88","65.17","65.21","64.43","-","-0.51%"
"Oct 07, 2014","65.21","64.39","65.29","64.24","-","1.25%"
"Oct 06, 2014","64.40","62.67","64.96","62.35","-","2.73%"
"Oct 03, 2014","62.69","61.74","62.69","61.72","-","1.66%"
"Oct 02, 2014","61.67","62.25","62.54","61.26","-","-0.87%"
"Oct 01, 2014","62.21","61.47","62.33","61.16","-","1.40%"
"Sep 30, 2014","61.35","61.79","62.03","61.03","-","-0.41%"
"Sep 29, 2014","61.60","61.83","62.85","61.42","-","-0.47%"
"Sep 26, 2014","61.89","61.25","63.25","61.23","-","0.82%"
"Sep 25, 2014","61.38","61.69","61.80","60.85","-","-0.28%"
"Sep 24, 2014","61.56","62.69","62.76","61.03","-","-1.92%"
"Sep 23, 2014","62.76","62.90","63.29","62.09","-","0.13%"
"Sep 22, 2014","62.68","64.38","64.38","62.24","-","-2.67%"
"Sep 19, 2014","64.40","65.05","65.07","63.72","-","-1.27%"
"Sep 18, 2014","65.23","65.59","65.79","64.68","-","-0.76%"
"Sep 17, 2014","65.73","65.50","66.20","65.42","-","0.17%"
"Sep 16, 2014","65.62","66.03","66.11","65.28","-","-0.52%"
"Sep 15, 2014","65.96","67.79","67.86","65.74","-","-2.89%"
"Sep 12, 2014","67.93","68.04","68.48","67.52","-","-0.18%"
"Sep 11, 2014","68.05","67.01","68.18","66.35","-","1.61%"
"Sep 10, 2014","66.97","65.67","67.38","65.35","-","1.95%"
"Sep 09, 2014","65.69","65.00","65.87","64.46","-","1.05%"
"Sep 08, 2014","65.01","64.32","65.18","64.18","-","1.02%"
"Sep 05, 2014","64.36","65.46","65.54","63.95","-","-1.71%"
"Sep 04, 2014","65.48","66.04","66.44","65.40","-","-0.69%"
"Sep 03, 2014","65.93","65.48","66.15","65.16","-","0.61%"
"Sep 02, 2014","65.54","66.31","66.32","65.07","-","-1.60%"
"Aug 29, 2014","66.60","66.53","66.64","65.78","-","-0.04%"
